"콘텐츠분류";"제목";"지번주소";"도로명주소";"위도";"경도"
"전기차 충전소";"블루핸즈(대정점)";"제주특별자치도 서귀포시 대정읍 일주서로 2199";"";126.282894;33.249431
"전기차 충전소";"가온누리";"제주특별자치도 서귀포시 대정읍 일주서로 2591";"";126.253392;33.227572
"전기차 충전소";"대정119센터";"제주특별자치도 서귀포시 대정읍 일주서로 2717";"";126.24085;33.232516
"전기차 충전소";"희준카센타";"제주특별자치도 서귀포시 대정읍 일주서로 2968";"";126.22215;33.246918
"전기차 충전소";"무릉2리마을회";"제주특별자치도 서귀포시 대정읍 중산간 서로2868";"";126.247045;33.256449
"전기차 충전소";"구억리마을회";"제주특별자치도 서귀포시 대정읍 중산간서로 2380";"";126.27913;33.272837
"전기차 충전소";"신평리마을회";"제주특별자치도 서귀포시 대정읍 중산간서로 2610";"";126.258962;33.265344
"전기차 충전소";"하모1리 마을회";"제주특별자치도 서귀포시 대정읍 최남단해안로 125번길 47";"";126.257467;33.215773
"전기차 충전소";"서부보건소";"제주특별자치도 서귀포시 대정읍 최남단해안로15번길 12";"";126.253333;33.218709
"전기차 충전소";"안성리마을회";"제주특별자치도 서귀포시 대정읍 추사로 10-1";"";126.281816;33.250236
"전기차 충전소";"제주추사관";"제주특별자치도 서귀포시 대정읍 추사로 36번길 1";"";126.278903;33.249925
"전기차 충전소";"제주추사관";"제주특별자치도 서귀포시 대정읍 추사로 36번길 1";"";126.278903;33.249925
"전기차 충전소";"제주추사관";"제주특별자치도 서귀포시 대정읍 추사로 36번길 1";"";126.278903;33.249925
"전기차 충전소";"하모2리주차장";"제주특별자치도 서귀포시 대정읍 하모리 1513";"";126.252554;33.223882
"전기차 충전소";"대정감협 인근 공영주차장";"제주특별자치도 서귀포시 대정읍 하모리 964-2";"";126.251981;33.223035
"전기차 충전소";"대정읍사무소";"제주특별자치도 서귀포시 대정읍 하모중앙로 20";"";126.251993;33.22675
"전기차 충전소";"인성리 사무실";"제주특별자치도 서귀포시 대정읍 향교로75번길 60";"";126.28048;33.247765
"전기차 충전소";"송악리조트렌트";"제주특별자치도 서귀포시 대정읍 형제해안로 256-8";"";126.291673;33.212335
"전기차 충전소";"서귀포강정LH아파트";"제주특별자치도 서귀포시 대청로25번길 9";"";126.502146;33.254212
"전기차 충전소";"서귀포자연휴양림";"제주특별자치도 서귀포시 대포동 1100로 882";"";126.458752;33.31151
"전기차 충전소";"뷰티플리조트";"제주특별자치도 서귀포시 대포동 1266";"";126.44672;33.243362
"전기차 충전소";"하이랜드";"제주특별자치도 서귀포시 대포동 2270";"";126.445216;33.242289
"전기차 충전소";"파밀리아 호텔";"제주특별자치도 서귀포시 대포동서로 63-20";"";126.438116;33.24092
"전기차 충전소";"에리두";"제주특별자치도 서귀포시 대포복개로 37";"";126.434614;33.241759
"전기차 충전소";"대천동주민센터";"제주특별자치도 서귀포시 도순로 44";"";126.477656;33.25066
"전기차 충전소";"대천동주민센터";"제주특별자치도 서귀포시 도순로 44";"";126.477656;33.25066
"전기차 충전소";"돈내코유원지 주차장";"제주특별자치도 서귀포시 돈내코로 114";"";126.584773;33.300252
"전기차 충전소";"돈내코힐리조트";"제주특별자치도 서귀포시 돈내코로 178";"";126.578689;33.302626
"전기차 충전소";"제주권역재활병원";"제주특별자치도 서귀포시 동문로 1(서귀동)";"";126.562361;33.252723
"전기차 충전소";"중앙동주민센터";"제주특별자치도 서귀포시 동문로 39(서귀동)";"";126.565066;33.25069
"전기차 충전소";"정방동문화의집";"제주특별자치도 서귀포시 동부로12번길 11";"";126.57023;33.246539
"렌터카";"발리렌트카";"제주특별자치도 서귀포시 동홍동";"";126.551901;33.295455
"전기차 충전소";"홍로공영주차장";"제주특별자치도 서귀포시 동홍동 1480-6";"";126.561288;33.255948
"전기차 충전소";"한빛 분향소";"제주특별자치도 서귀포시 동홍동 1518-1";"";126.564209;33.256486
"전기차 충전소";"대한예수교장로회 서귀포교회";"제주특별자치도 서귀포시 동홍동 444-1";"";126.568442;33.252938
"전기차 충전소";"성지";"제주특별자치도 서귀포시 동홍동로 10";"";126.575043;33.255439
